"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"Tactical Civics - Floyd County, GA","Floyd County","Georgia","","Antigovernment General","","","2023"
"Tactical Civics - Haralson County, GA","Haralson County","Georgia","","Antigovernment General","","","2023"
"Tactical Civics - Pickens County, GA","Pickens County","Georgia","","Antigovernment General","","","2023"
"Tactical Civics - Polk County, GA","Polk County","Georgia","","Antigovernment General","","","2023"
"Tactical Civics - South Georgia","Lee County","Georgia","","Antigovernment General","","","2023"
"Tactical Civics - Union County, GA","Union County","Georgia","","Antigovernment General","","","2023"
"Truth in Education ","Alpharetta","Georgia","","Antigovernment General","","","2023"
"Hawaii Parents Involved in Education","","Hawaii","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Honolulu, HI Chapter","Honolulu County","Hawaii","Moms for Liberty","Antigovernment General","","","2023"
"AVOW (Another Voice of Warning)","Rigby","Idaho","","Antigovernment General","","","2023"
"Constitution Party","Coeur D'Alene","Idaho","","Antigovernment General","","","2023"
"Cowboys Motorcycle Club Idaho","Priest River","Idaho","","Antigovernment General","","","2023"
"Idaho Parents Involved in Educatio","","Idaho","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Nez Perce County, ID Chapter","Nez Perce County","Idaho","Moms for Liberty","Antigovernment General","","","2023"
"Panhandle Patriots Riding Club","Coeur D'Alene","Idaho","","Antigovernment General","","","2023"
"Parents' Rights in Education - Idaho","","Idaho","","Antigovernment General","","Yes","2023"
"People's Rights","Emmett","Idaho","","Antigovernment General","","","2023"
"Tactical Civics - Idaho","","Idaho","","Antigovernment General","","Yes","2023"
"American Patriot Vanguard","","Illinois","","Antigovernment General","","Yes","2023"
"Awake Illinois  ","Naperville","Illinois","","Antigovernment General","","","2023"
"Constitution Party of Illinois","Springfield","Illinois","","Antigovernment General","","","2023"
"Eagle Forum","Alton","Illinois","","Antigovernment General","","","2023"
"Illinois Parents Involved in Education","","Illinois","","Antigovernment General","","Yes","2023"
"Illinois Sons of Liberty","","Illinois","","Antigovernment General","","Yes","2023"
"Moms for America Illinois","","Illinois","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Cook County, IL","Cook County","Illinois","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - DuPage County, IL","DuPage County","Illinois","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Henry County, IL","Henry County","Illinois","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Tazewell County, IL Chapter","Tazewell County","Illinois","Moms for Liberty","Antigovernment General","","","2023"
"Next News Network","Northbrook","Illinois","","Antigovernment General","","","2023"
"Northern Illinois Moms for America","","Illinois","","Antigovernment General","","Yes","2023"
"Parents' Rights in Education - Illinois","","Illinois","","Antigovernment General","","Yes","2023"
"We Are Change","Chicago","Illinois","","Antigovernment General","","","2023"
"We Are Change","Rockford","Illinois","","Antigovernment General","","","2023"
"American Patriot Vanguard","","Indiana","","Antigovernment General","","Yes","2023"
"Courage is a Habit","","Indiana","","Antigovernment General","","Yes","2023"
"Indiana Parents Involved in Education","","Indiana","","Antigovernment General","","Yes","2023"
"Mom Army Indianapolis","Indianapolis","Indiana","","Antigovernment General","","","2023"
"Moms for Liberty - Allen County, IN Chapter","Allen County","Indiana","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Cass County, IN Chapter","Cass County","Indiana","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Hamilton County, IN Chapter","Hamilton County","Indiana","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Howard County, IN Chapter","Howard County","Indiana","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - La Porte County, IN Chapter","La Porte","Indiana","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Noble County, IN Chapter","Noble County","Indiana","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Tipton County, IN Chapter","Tipton County","Indiana","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Warrick County, IN Chapter","Warrick County","Indiana","Moms for Liberty","Antigovernment General","","","2023"
"Oath Keepers  - Allen County, IN","Allen County","Indiana","Oath Keepers","Antigovernment General","","","2023"
"Oath Keepers - DeKalb County, IN","","Indiana","Oath Keepers","Antigovernment General","","","2023"
"Purple for Parents Indiana","Nappanee","Indiana","","Antigovernment General","","","2023"
"Moms for Liberty - Carroll County, IA Chapter","Carroll County","Iowa","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Dallas County, IA","Dallas County","Iowa","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Linn County, IA Chapter","Linn County","Iowa","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Polk County, IA Chapter","Polk County","Iowa","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Warren County, IA Chapter","Warren County","Iowa","Moms for Liberty","Antigovernment General","","","2023"
"Kansas Parents Involved in Education","","Kansas","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Ford County, KS","Ford County","Kansas","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Johnson County, KS Chapter","Johnson County","Kansas","Moms for Liberty","Antigovernment General","","","2023"
"Kentucky Parents Involved in Education","","Kentucky","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Boone County, KY","Boone County","Kentucky","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Campbell County, KY Chapter","Campbell County","Kentucky","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Jefferson County, KY","Jefferson County","Kentucky","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty- Warren County, KY","Warren County","Kentucky","Moms for Liberty","Antigovernment General","","","2023"
"No Left Turn in Education - Kentucky","Louisville","Kentucky","","Antigovernment General","","","2023"
"Tactical Civics - Kentucky","","Kentucky","","Antigovernment General","","Yes","2023"
"Tea Party of Kentucky","Louisville","Kentucky","","Antigovernment General","","","2023"
"Moms for Liberty - East Baton Rouge Parish, LA","","Louisiana","Moms for Liberty","Antigovernment General","","","2023"
"Maine Parents Involved in Education","","Maine","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Kennebec County, ME","Kennebec County","Maine","Moms for Liberty","Antigovernment General","","","2023"
"National Constitutional Coalition of Patriotic Americans","","Maine","","Antigovernment General","","Yes","2023"
"No Left Turn in Education - Maine","Augusta","Maine","","Antigovernment General","","","2023"
"Parents' Rights in Education - Maine","","Maine","","Antigovernment General","","Yes","2023"
"Tactical Civics - Androscoggin County, ME","","Maine","","Antigovernment General","","","2023"
"Institute on the Constitution","Caroline County","Maryland","","Antigovernment General","","","2023"
"Moms for Liberty - Anne Arundel County, MD Chapter","","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Baltimore County, MD Chapter","Baltimore County","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Carroll County, MD Chapter","Carroll County","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Cecil County, MD Chapter","Cecil County","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Frederick County, MD Chapter","Frederick County","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Harford County, MD County","Harford County","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Howard County, MD","Howard County","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Kent County, MD Chapter","Kent County","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Montgomery County, MD","","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Talbot County, MD County","Talbot County","Maryland","Moms for Liberty","Antigovernment General","","","2023"
"No Left Turn in Education - Maryland","Annapolis","Maryland","","Antigovernment General","","","2023"
"The Institute on the Constitution (aka American View)","Pasadena","Maryland","","Antigovernment General","","","2023"
"Citizens for Responsible Education ","Newburyport","Massachusetts","","Antigovernment General","","","2023"
"Citizens Organized to Restore Rights","Fall River","Massachusetts","","Antigovernment General","","","2023"
"Moms for Liberty - Middlesex County, MA Chapter","Middlesex County","Massachusetts","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Plymouth County, MA","Plymouth County","Massachusetts","Moms for Liberty","Antigovernment General","","","2023"
"Super Happy Fun America","City of Woburn","Massachusetts","","Antigovernment General","","","2023"
"Constitution Party (U.S. Taxpayers Party of Michigan)","Grand Rapids","Michigan","","Antigovernment General","","","2023"
"Eagle Forum","Birmingham","Michigan","","Antigovernment General","","","2023"
"Faith Education Commerce (FEC United)","Grosse Pointe","Michigan","Faith Education Commerce","Antigovernment General","","","2023"
"Faith Education Commerce (FEC United)","Macomb","Michigan","Faith Education Commerce","Antigovernment General","","","2023"
"Michigan Parents Involved in Education","","Michigan","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Branch County, MI Chapter","Branch County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Emmet County, MI Chapter","Emmet County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Grand Traverse County, MI Chapter","","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Isabella County, MI Chapter","Isabella County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Kent County, MI Chapter","Kent County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Livingston County, MI Chapter","Livingston County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Macomb County, MI Chapter","Macomb County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Midland County, MI Chapter","Midland County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Monroe County, MI Chapter","Monroe County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Oakland County, MI Chapter","Oakland County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Wayne County, MI Chapter","Wayne County","Michigan","Moms for Liberty","Antigovernment General","","","2023"
"Tactical Civics - Barry County, MI","Barry County","Michigan","","Antigovernment General","","","2023"
"Tactical Civics - Isabella County, MI","Mt Pleasant","Michigan","","Antigovernment General","","","2023"
"Tactical Civics - Montcalm County, MI","Montcalm County","Michigan","","Antigovernment General","","","2023"
"American Patriot Vanguard","","Minnesota","","Antigovernment General","","Yes","2023"
"Child Protection League/Child Protection League Action ","Maple Grove","Minnesota","","Antigovernment General","","","2023"
"Minnesota Parents Involved in Education","","Minnesota","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Dakota County, MN Chapter","Dakota County","Minnesota","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Olmsted County, MN Chapter","Olmsted County","Minnesota","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Otter Tail County, MN Chapter","Otter Tail County","Minnesota","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Scott County, MN","Scott County","Minnesota","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - St. Louis County, MN","St. Louis County","Minnesota","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Wright County, MN Chapter","Wright County","Minnesota","Moms for Liberty","Antigovernment General","","","2023"
"No Left Turn in Education - Minnesota","St Paul","Minnesota","","Antigovernment General","","","2023"
"Sons of Liberty Media (formerly You Can Run But You Cannot Hide)","Annandale","Minnesota","","Antigovernment General","","","2023"
"We Are Change","","Minnesota","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Madison County, MS Chapter","Madison County","Mississippi","Moms for Liberty","Antigovernment General","","","2023"
"2nd Amendment Patches.com","Halltown","Missouri","","Antigovernment General","","","2023"
"Constitution Party","Piedmont","Missouri","","Antigovernment General","","","2023"
"Constitution Party","","Missouri","","Antigovernment General","","","2023"
"Eagle Forum","","Missouri","","Antigovernment General","","Yes","2023"
"Missouri Parents Involved in Education","","Missouri","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Greene County, MO","Greene County","Missouri","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Jackson County, MO","Jackson County","Missouri","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - St. Charles County, MO Chapter","St. Charles County","Missouri","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - St. Louis County, MO Chapter","St. Louis County","Missouri","Moms for Liberty","Antigovernment General","","","2023"
"No Left Turn in Education - Missouri","Jefferson City","Missouri","","Antigovernment General","","","2023"
"Moms for Liberty - Yellowstone County, MT Chapter","","Montana","Moms for Liberty","Antigovernment General","","","2023"
"Parents' Rights in Education - Montana","","Montana","","Antigovernment General","","Yes","2023"
"People's Rights","Kalispell","Montana","","Antigovernment General","","","2023"
"Tactical Civics - Cascade County, MI","Cascade County","Montana","","Antigovernment General","","","2023"
"Tactical Civics - Gallatin County, MI","Gallatin County","Montana","","Antigovernment General","","","2023"
"Tactical Civics - Park County, MT","Park County","Montana","","Antigovernment General","","","2023"
"Tactical Civics - Silver Bow County, MI","Silver Bow County","Montana","","Antigovernment General","","","2023"
"Eagle Forum","","Nebraska","","Antigovernment General","","Yes","2023"
"Institute on the Constitution","","Nebraska","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Douglas County, NE Chapter","Douglas County","Nebraska","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Sheridan County, NE","Sheridan County","Nebraska","Moms for Liberty","Antigovernment General","","","2023"
"Nebraska Parents Involved in Education","","Nebraska","","Antigovernment General","","Yes","2023"
"Eagle Forum","Elko","Nevada","","Antigovernment General","","","2023"
"Mom Army Las Vegas","Las Vegas","Nevada","","Antigovernment General","","","2023"
"Moms for Liberty - Clark County, NV","Clark County","Nevada","Moms for Liberty","Antigovernment General","","","2023"
"Nevada Parents Involved in Education","","Nevada","","Antigovernment General","","Yes","2023"
"Constitution Party","Auburn","New Hampshire","","Antigovernment General","","","2023"
"GraniteGrok","Gilford","New Hampshire","","Antigovernment General","","","2023"
"Institute on the Constitution","","New Hampshire","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Hillsborough County, NH","","New Hampshire","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Rockingham County, NH Chapter","Rockingham County","New Hampshire","Moms for Liberty","Antigovernment General","","","2023"
"No Left Turn in Education - New Hampshire","Concord","New Hampshire","","Antigovernment General","","","2023"
"Garden State 2A Grassroots Organization","Mullica Hill","New Jersey","","Antigovernment General","","","2023"
"Moms for Liberty - Bergen County, NJ Chapter","Bergen County","New Jersey","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Burlington County, NJ Chapter","Burlington County","New Jersey","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Cape May County, NJ Chapter","Cape May County","New Jersey","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Morris County, NJ Chapter","Morris County","New Jersey","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Ocean County, NJ Chapter","Ocean County","New Jersey","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Passaic County, NJ","Passaic County","New Jersey","Moms for Liberty","Antigovernment General","","","2023"
"National Constitutional Coalition of Patriotic Americans","","New Jersey","","Antigovernment General","","Yes","2023"
"New Jersey Parents Involved in Education","","New Jersey","","Antigovernment General","","Yes","2023"
"New Jersey Project ","Newark","New Jersey","","Antigovernment General","","","2023"
"Sons of Liberty Survival Outfitters","Sparta","New Jersey","","Antigovernment General","","","2023"
"American Patriot Vanguard","Rio Rancho","New Mexico","","Antigovernment General","","","2023"
"Moms for Liberty - Bernalillo County, NM Chapter","Bernalillo County","New Mexico","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - San Juan County, NM","San Juan County","New Mexico","Moms for Liberty","Antigovernment General","","","2023"
"Constitutional Coalition of NYS","Cheektowaga","New York","","Antigovernment General","","","2023"
"Long Island Loud Majority","Lindenhurst","New York","","Antigovernment General","","","2023"
"Long Island Mutual Assistance Group","Nassau County","New York","","Antigovernment General","","","2023"
"Madison's Militia","New Lebanon","New York","","Antigovernment General","","","2023"
"Mom Army New York","New York","New York","","Antigovernment General","","","2023"
"Moms for Liberty - Dutchess County, NY Chapter","Dutchess County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Erie County, NY Chapter","Erie County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Monroe County, NY Chapter","Monroe County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Nassau County, NY","Nassau County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Niagara County, NY","Niagara County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Oneida County, NY Chapter","Oneida County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Onondaga County, NY","Onondaga County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Orange County, NY Chapter","Orange County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Putnam County, NY Chapter","Putnam County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Queens County, NY Chapter","Queens County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Suffolk County, NY Chapter","Suffolk County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Wayne County, NY Chapter","Wayne County","New York","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Westchester County, NY Chapter","","New York","Moms for Liberty","Antigovernment General","","","2023"
"Parents' Rights in Education - New York","New York","New York","","Antigovernment General","","","2023"
"Tactical Civics - Nassau County, NY","Nassau County","New York","","Antigovernment General","","","2023"
"We Are Change","New York","New York","","Antigovernment General","","","2023"
"Camp Constitution","Charlotte","North Carolina","","Antigovernment General","","","2023"
"Education First Alliance","Apex","North Carolina","","Antigovernment General","","","2023"
"Mom Army Charlotte","Charlotte","North Carolina","","Antigovernment General","","","2023"
"Moms for Liberty - Alexander County, NC Chapter","Alexander County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Bladen County, NC","Bladen County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Buncombe County, NC","Buncombe County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Cabarrus County, NC Chapter","Cabarrus County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Chatham County, NC Chapter","Chatham County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Forsyth County, NC Chapter","Forsyth County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Gaston County, NC Chapter","Gaston County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Guilford County, NC Chapter","Guilford County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Iredell County, NC Chapter","Iredell County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Johnston County, NC","Johnston County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Mecklenburg, NC County Chapter","","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - New Hanover County, NC Chapter","","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Onslow County, NC","Onslow County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Orange County, NC Chapter","Orange County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Pender County, NC","Pender County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Stanly County, NC Chapter","Stanly County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Wake County, NC Chapter","Wake County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Wilson County, NC","Wilson County","North Carolina","Moms for Liberty","Antigovernment General","","","2023"
"No Left Turn in Education - North Carolina","Raleigh","North Carolina","","Antigovernment General","","","2023"
"North Carolina Moms for America","","North Carolina","","Antigovernment General","","Yes","2023"
"North Carolina Parents Involved in Education","","North Carolina","","Antigovernment General","","Yes","2023"
"Tactical Civics - North Carolina","","North Carolina","","Antigovernment General","","Yes","2023"
"Moms for Liberty - Williams County, ND Chapter","Williams County","North Dakota","Moms for Liberty","Antigovernment General","","","2023"
"North Dakota Parents Involved in Education","","North Dakota","","Antigovernment General","","Yes","2023"
"American Patriot Vanguard","","Ohio","","Antigovernment General","","Yes","2023"
"Constitution Party of Ohio","New Lebanon","Ohio","","Antigovernment General","","","2023"
"Institute on the Constitution","","Ohio","","Antigovernment General","","Yes","2023"
"Moms for America","Englewood","Ohio","","Antigovernment General","","","2023"
"Moms for Liberty - Delaware County, OH Chapter","Delaware County","Ohio","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Franklin County, OH Chapter","Franklin County","Ohio","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Hamilton County, OH Chapter","Hamilton County","Ohio","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Lake County, OH","Lake County","Ohio","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Madison County, OH Chapter","Madison County","Ohio","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Medina County, OH Chapter","Medina County","Ohio","Moms for Liberty","Antigovernment General","Yes","","2023"
"Moms for Liberty - Stark County, OH Chapter","Stark County","Ohio","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Summit County, OH Chapter","Summit County","Ohio","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Wood County, OH","Wood County","Ohio","Moms for Liberty","Antigovernment General","","","2023"
"Ohio Parents Involved in Education","","Ohio","","Antigovernment General","","Yes","2023"
"Ohio Patriots Alliance","Newark","Ohio","","Antigovernment General","","","2023"
"Parents' Rights in Education - Ohio","","Ohio","","Antigovernment General","","Yes","2023"
"Patriot America","Middletown","Ohio","","Antigovernment General","","","2023"
"Patriot Shit Outfitters","Bethel","Ohio","","Antigovernment General","","","2023"
"Southern Ohio Outdoorsmen","Peebles","Ohio","","Antigovernment General","","","2023"
"Eagle Forum","Oklahoma City","Oklahoma","","Antigovernment General","","","2023"
"Moms for Liberty - Canadian County, OK Chapter","Canadian County","Oklahoma","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Garfield County, OK","Garfield County","Oklahoma","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Oklahoma County, OK","Oklahoma City","Oklahoma","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Pottawatomie County, OK","","Oklahoma","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Tulsa County, OK Chapter","Tulsa County","Oklahoma","Moms for Liberty","Antigovernment General","","","2023"
"Oklahoma Parents Involved in Education","","Oklahoma","","Antigovernment General","","Yes","2023"
"Overpasses for America","Tecumseh","Oklahoma","","Antigovernment General","","","2023"
"Reawaken America","Collinsville","Oklahoma","","Antigovernment General","","","2023"
"American Patriot Party","Ashland","Oregon","","Antigovernment General","","","2023"
"Moms for Liberty - Deschutes County, OR Chapter","Deschutes County","Oregon","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Douglas County, OR Chapter","Douglas County","Oregon","Moms for Liberty","Antigovernment General","","","2023"
"No Left Turn in Education - Oregon Chapter","Portland","Oregon","","Antigovernment General","","","2023"
"Oregon Parents Involved in Education","","Oregon","","Antigovernment General","","Yes","2023"
"Parents' Rights in Education - Oregon","","Oregon","","Antigovernment General","","Yes","2023"
"People's Rights","","Oregon","","Antigovernment General","","Yes","2023"
"People's Rights","Central","Oregon","","Antigovernment General","","","2023"
"State of Jefferson Formation","Josephine County","Oregon","","Antigovernment General","","","2023"
"Timber Unity","","Oregon","","Antigovernment General","","Yes","2023"
"Audit the Vote PA ","Huntington Valley","Pennsylvania","","Antigovernment General","","","2023"
"Berks County Patriots","Blandon","Pennsylvania","","Antigovernment General","","","2023"
"Constitution Party","Lancaster County","Pennsylvania","","Antigovernment General","","","2023"
"Constitution Party of Pennsylvania","Lancaster","Pennsylvania","","Antigovernment General","","","2023"
"Free PA - Capital Area Chapter","Dauphin","Pennsylvania","","Antigovernment General","","","2023"
"Free PA - Cumberland County","Cumberland","Pennsylvania","","Antigovernment General","","","2023"
"Free PA - Free Lebanon/Pennsylvanians for Freedom","Lebanon","Pennsylvania","","Antigovernment General","","","2023"
"Free PA - Lancaster County and South End Chapters","Lancaster","Pennsylvania","","Antigovernment General","","","2023"
"Free PA - Montgomery County","Montgomery","Pennsylvania","","Antigovernment General","","","2023"
"Free PA - Perry County","Perry","Pennsylvania","","Antigovernment General","","","2023"
"Free PA - Schuylkill County","Schuylkill","Pennsylvania","","Antigovernment General","","","2023"
"Free PA - York County","York","Pennsylvania","","Antigovernment General","","","2023"
"Gun Owners of America","Harrisburg","Pennsylvania","","Antigovernment General","","","2023"
"Maulitia Motorcycle Club","Dauphin","Pennsylvania","","Antigovernment General","","","2023"
"Moms for Liberty - Adams County, PA Chapter","Adams County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Allegheny County, PA Chapter","Allegheny County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Beaver County, PA Chapter","Beaver County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Berks County, PA Chapter","Berks County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Bucks County, PA Chapter","Bucks County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Chester County, PA Chapter","Chester County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Cumberland County, PA Chapter","Cumberland County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Dauphin County, PA Chapter","Dauphin County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Delaware County, PA Chapter","Delaware County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Erie County, PA Chapter","Erie County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Franklin County, PA Chapter","Franklin County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Lackawanna County, PA Chapter","Lackawanna County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Lancaster County, PA Chapter","Lancaster County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Lehigh County, PA Chapter","Lehigh County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - McKean County, PA Chapter","McKean County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Monroe County, PA Chapter","Monroe County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Montgomery County, PA Chapter","","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Northampton County, PA Chapter","","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Northumberland County, PA Chapter","","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Philadelphia County, PA","","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Pike County, PA","Pike County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
"Moms for Liberty - Schuylkill County, PA Chapter","Schuylkill County","Pennsylvania","Moms for Liberty","Antigovernment General","","","2023"
